road_id,accident_id,road_type,lighting,road_condition,response_time
R55,55,Rural Road,Dim Light,Wet,<10 min
R56,56,Rural Road,No Light,Under Construction,20-30 min
R57,57,City Road,Daylight,Under Construction,>30 min
R58,58,City Road,Street Light,Damaged,>30 min
R59,59,Expressway,Daylight,Under Construction,>30 min
R60,60,Rural Road,No Light,Dry,<10 min
R61,61,Expressway,No Light,Wet,<10 min
R62,62,Highway,No Light,Wet,20-30 min
R63,63,City Road,Daylight,Damaged,20-30 min
R64,64,City Road,Daylight,Wet,10-20 min
R65,65,Highway,Daylight,Dry,<10 min
R66,66,Expressway,No Light,Under Construction,20-30 min
R67,67,Rural Road,Daylight,Wet,<10 min
R68,68,City Road,No Light,Damaged,10-20 min
R69,69,Rural Road,Daylight,Wet,20-30 min
R70,70,Rural Road,Dim Light,Damaged,20-30 min
R71,71,Rural Road,Street Light,Damaged,10-20 min
R72,72,Expressway,No Light,Wet,>30 min
R73,73,City Road,Street Light,Damaged,20-30 min
R74,74,Rural Road,Street Light,Under Construction,20-30 min
R75,75,Rural Road,Dim Light,Dry,>30 min
R76,76,Highway,No Light,Wet,>30 min
R77,77,City Road,No Light,Wet,20-30 min
R78,78,Highway,Street Light,Damaged,10-20 min
R79,79,Rural Road,Dim Light,Wet,>30 min
R80,80,Expressway,Street Light,Wet,10-20 min
R81,81,Expressway,No Light,Under Construction,20-30 min
R82,82,Highway,No Light,Under Construction,20-30 min
R83,83,Expressway,Dim Light,Under Construction,20-30 min
R84,84,Highway,Daylight,Damaged,<10 min
R85,85,Rural Road,No Light,Wet,<10 min
R86,86,Rural Road,No Light,Dry,>30 min
R87,87,City Road,No Light,Under Construction,20-30 min
R88,88,City Road,Street Light,Under Construction,10-20 min
R89,89,City Road,No Light,Damaged,20-30 min
R90,90,City Road,No Light,Wet,20-30 min
R91,91,Expressway,No Light,Under Construction,10-20 min
R92,92,City Road,Street Light,Dry,<10 min
R93,93,Highway,Daylight,Dry,<10 min
R94,94,Rural Road,Daylight,Damaged,10-20 min
R95,95,City Road,Daylight,Dry,20-30 min
R96,96,Expressway,Daylight,Under Construction,>30 min
R97,97,Expressway,Street Light,Damaged,20-30 min
R98,98,Expressway,Dim Light,Dry,>30 min
R99,99,Expressway,Dim Light,Damaged,>30 min
R100,100,Expressway,No Light,Dry,20-30 min
R101,101,Highway,Dim Light,Damaged,<10 min
R102,102,Highway,Daylight,Dry,>30 min
R103,103,Expressway,Street Light,Wet,<10 min
R104,104,City Road,Street Light,Under Construction,<10 min
R105,105,City Road,Daylight,Dry,<10 min
R106,106,Expressway,No Light,Dry,<10 min
R107,107,Rural Road,No Light,Dry,<10 min
R108,108,City Road,Daylight,Under Construction,<10 min
R109,109,Highway,No Light,Under Construction,10-20 min
R110,110,Highway,Street Light,Dry,10-20 min
R111,111,City Road,No Light,Dry,10-20 min
R112,112,Highway,Dim Light,Wet,<10 min
R113,113,City Road,No Light,Dry,<10 min
R114,114,Highway,Street Light,Dry,10-20 min
R115,115,Rural Road,Dim Light,Wet,<10 min
R116,116,Expressway,Street Light,Dry,10-20 min
R117,117,Rural Road,No Light,Wet,<10 min
R118,118,Expressway,Daylight,Wet,>30 min
R119,119,Highway,Daylight,Dry,>30 min
R120,120,Highway,Dim Light,Dry,<10 min
R121,121,Rural Road,Street Light,Damaged,>30 min
R122,122,Expressway,Street Light,Damaged,>30 min
R123,123,City Road,Daylight,Damaged,20-30 min
R124,124,City Road,No Light,Damaged,10-20 min
R125,125,City Road,Daylight,Dry,>30 min
R126,126,Rural Road,Daylight,Under Construction,>30 min
R127,127,City Road,Daylight,Dry,20-30 min
R128,128,Highway,Dim Light,Damaged,20-30 min
R129,129,Expressway,No Light,Wet,<10 min
R130,130,Expressway,Street Light,Dry,>30 min
R131,131,Expressway,Street Light,Wet,10-20 min
R132,132,Expressway,Dim Light,Damaged,10-20 min
R133,133,Highway,Street Light,Under Construction,<10 min
R134,134,Rural Road,Dim Light,Damaged,>30 min
R135,135,Highway,Street Light,Wet,10-20 min
R136,136,Rural Road,Daylight,Wet,<10 min
R137,137,Highway,No Light,Damaged,20-30 min
R138,138,Rural Road,Daylight,Under Construction,10-20 min
R139,139,Highway,Dim Light,Wet,10-20 min
R140,140,Expressway,No Light,Under Construction,20-30 min
R141,141,Highway,Street Light,Under Construction,10-20 min
R142,142,Highway,No Light,Under Construction,>30 min
R143,143,Highway,No Light,Under Construction,10-20 min
R144,144,Highway,No Light,Damaged,10-20 min
R145,145,City Road,Daylight,Under Construction,>30 min
R146,146,Rural Road,Daylight,Dry,>30 min
R147,147,Highway,Daylight,Damaged,20-30 min
R148,148,Rural Road,Dim Light,Under Construction,20-30 min
R149,149,Rural Road,Dim Light,Damaged,10-20 min
R150,150,Expressway,No Light,Wet,10-20 min
R151,151,Rural Road,No Light,Damaged,<10 min
R152,152,Expressway,No Light,Dry,20-30 min
R153,153,City Road,No Light,Damaged,>30 min
R154,154,Rural Road,Daylight,Wet,20-30 min
R155,155,Expressway,Dim Light,Wet,10-20 min
R156,156,Expressway,Dim Light,Under Construction,<10 min
R157,157,City Road,Dim Light,Under Construction,<10 min
R158,158,Expressway,Daylight,Wet,>30 min
R159,159,Rural Road,No Light,Under Construction,<10 min
R160,160,Rural Road,Daylight,Under Construction,10-20 min
R161,161,Rural Road,No Light,Wet,<10 min
R162,162,Rural Road,No Light,Wet,20-30 min
R163,163,Expressway,Street Light,Dry,>30 min
R164,164,Expressway,Daylight,Dry,10-20 min
R165,165,Expressway,No Light,Dry,>30 min
R166,166,City Road,Street Light,Damaged,10-20 min
R167,167,Rural Road,Dim Light,Damaged,<10 min
R168,168,Rural Road,Dim Light,Damaged,<10 min
R169,169,Rural Road,No Light,Damaged,20-30 min
R170,170,Highway,Street Light,Wet,20-30 min
R171,171,Expressway,No Light,Under Construction,>30 min
R172,172,Rural Road,Street Light,Damaged,20-30 min
R173,173,Expressway,Dim Light,Dry,>30 min
R174,174,Expressway,Daylight,Dry,10-20 min
R175,175,Highway,Dim Light,Wet,>30 min
R176,176,Rural Road,No Light,Under Construction,<10 min
R177,177,City Road,No Light,Under Construction,<10 min
R178,178,Rural Road,Daylight,Damaged,<10 min
R179,179,City Road,Dim Light,Under Construction,<10 min
R180,180,City Road,Dim Light,Dry,20-30 min
R181,181,Rural Road,Dim Light,Damaged,<10 min
R182,182,Highway,Street Light,Damaged,20-30 min
R183,183,Highway,Dim Light,Damaged,20-30 min
R184,184,Highway,Dim Light,Dry,20-30 min
R185,185,Highway,Daylight,Wet,10-20 min
R186,186,Expressway,Street Light,Wet,20-30 min
R187,187,Expressway,Street Light,Dry,<10 min
R188,188,City Road,Daylight,Damaged,>30 min
R189,189,Highway,Dim Light,Dry,20-30 min
R190,190,Rural Road,Daylight,Wet,>30 min
R191,191,City Road,Dim Light,Under Construction,<10 min
R192,192,Highway,Dim Light,Under Construction,<10 min
R193,193,Highway,Daylight,Damaged,>30 min
R194,194,Highway,No Light,Dry,<10 min
R195,195,Expressway,Dim Light,Under Construction,<10 min
R196,196,Expressway,Street Light,Damaged,<10 min
R197,197,City Road,Daylight,Under Construction,<10 min
R198,198,Expressway,No Light,Damaged,<10 min
R199,199,Highway,Daylight,Wet,20-30 min
R200,200,Rural Road,Daylight,Under Construction,>30 min
R201,201,City Road,Daylight,Wet,20-30 min
R202,202,Expressway,Street Light,Under Construction,<10 min
R203,203,City Road,Dim Light,Dry,<10 min
R204,204,Highway,Dim Light,Damaged,>30 min
R205,205,City Road,Street Light,Under Construction,10-20 min
R206,206,City Road,Daylight,Dry,20-30 min
R207,207,Highway,Dim Light,Wet,10-20 min
R208,208,City Road,Dim Light,Under Construction,>30 min
R209,209,Expressway,Dim Light,Damaged,<10 min
R210,210,Rural Road,No Light,Damaged,10-20 min
R211,211,Highway,Daylight,Under Construction,<10 min
R212,212,Rural Road,Street Light,Under Construction,20-30 min
R213,213,Highway,Daylight,Dry,10-20 min
R214,214,City Road,Dim Light,Wet,10-20 min
R215,215,Highway,Dim Light,Wet,10-20 min
R216,216,Rural Road,Daylight,Damaged,<10 min
R217,217,Highway,Dim Light,Under Construction,>30 min
R218,218,City Road,Daylight,Under Construction,<10 min
R219,219,Rural Road,Daylight,Dry,<10 min
R220,220,City Road,Daylight,Dry,<10 min
R221,221,Rural Road,Dim Light,Damaged,20-30 min
R222,222,Rural Road,Street Light,Damaged,10-20 min
R223,223,Expressway,Daylight,Damaged,<10 min
R224,224,Rural Road,No Light,Wet,<10 min
R225,225,Expressway,No Light,Wet,<10 min
R226,226,Rural Road,Daylight,Wet,10-20 min
R227,227,Expressway,Dim Light,Dry,>30 min
R228,228,Highway,Street Light,Dry,20-30 min
R229,229,Highway,No Light,Under Construction,>30 min
R230,230,Expressway,Dim Light,Wet,10-20 min
R231,231,Rural Road,No Light,Damaged,<10 min
R232,232,Highway,Daylight,Wet,10-20 min
R233,233,Highway,No Light,Dry,10-20 min
R234,234,City Road,Dim Light,Damaged,>30 min
R235,235,Rural Road,No Light,Dry,10-20 min
R236,236,Rural Road,No Light,Dry,20-30 min
R237,237,Rural Road,Dim Light,Under Construction,10-20 min
R238,238,Rural Road,Daylight,Under Construction,<10 min
R239,239,City Road,Dim Light,Under Construction,>30 min
R240,240,Highway,Daylight,Dry,<10 min
R241,241,Rural Road,No Light,Dry,>30 min
R242,242,City Road,Street Light,Wet,20-30 min
R243,243,Rural Road,Street Light,Dry,>30 min
R244,244,City Road,Dim Light,Under Construction,10-20 min
R245,245,Rural Road,Dim Light,Dry,>30 min
R246,246,Rural Road,Daylight,Damaged,20-30 min
R247,247,Rural Road,No Light,Dry,<10 min
R248,248,City Road,Street Light,Wet,<10 min
R249,249,Rural Road,Daylight,Under Construction,>30 min
R250,250,Expressway,Street Light,Wet,<10 min
R251,251,City Road,No Light,Under Construction,20-30 min
R252,252,Highway,Dim Light,Under Construction,10-20 min
R253,253,Expressway,No Light,Damaged,10-20 min
R254,254,Highway,Daylight,Damaged,>30 min
R255,255,Rural Road,Daylight,Dry,>30 min
R256,256,City Road,Daylight,Under Construction,>30 min
R257,257,Rural Road,Daylight,Under Construction,>30 min
R258,258,Rural Road,Daylight,Under Construction,>30 min
R259,259,Expressway,Street Light,Wet,10-20 min
R260,260,Highway,No Light,Wet,<10 min
R261,261,City Road,No Light,Wet,>30 min
R262,262,City Road,Dim Light,Under Construction,10-20 min
R263,263,Highway,Street Light,Under Construction,>30 min
R264,264,Rural Road,Daylight,Wet,20-30 min
R265,265,Highway,Daylight,Wet,>30 min
R266,266,City Road,Daylight,Under Construction,10-20 min
R267,267,City Road,Street Light,Wet,>30 min
R268,268,Highway,No Light,Under Construction,>30 min
R269,269,City Road,No Light,Damaged,10-20 min
R270,270,Rural Road,Daylight,Damaged,10-20 min
R271,271,Expressway,Street Light,Damaged,10-20 min
R272,272,Expressway,Street Light,Wet,10-20 min
R273,273,Highway,Dim Light,Dry,20-30 min
R274,274,Rural Road,No Light,Damaged,10-20 min
R275,275,Highway,Street Light,Damaged,>30 min
R276,276,Highway,Dim Light,Damaged,20-30 min
R277,277,Highway,Daylight,Dry,10-20 min
R278,278,Expressway,Dim Light,Damaged,10-20 min
R279,279,Expressway,Dim Light,Dry,>30 min
R280,280,City Road,Daylight,Wet,>30 min
R281,281,Expressway,Daylight,Dry,20-30 min
R282,282,Highway,No Light,Dry,<10 min
R283,283,Rural Road,Daylight,Under Construction,10-20 min
R284,284,City Road,Dim Light,Wet,10-20 min
R285,285,Rural Road,Daylight,Wet,>30 min
R286,286,City Road,Street Light,Damaged,20-30 min
R287,287,Expressway,No Light,Under Construction,20-30 min
R288,288,Expressway,Daylight,Dry,10-20 min
R289,289,Highway,No Light,Dry,20-30 min
R290,290,Highway,Street Light,Dry,<10 min
R291,291,Highway,Daylight,Wet,20-30 min
R292,292,Expressway,No Light,Dry,10-20 min
R293,293,City Road,No Light,Under Construction,<10 min
R294,294,City Road,Street Light,Under Construction,20-30 min
R295,295,Rural Road,Dim Light,Dry,20-30 min
R296,296,Highway,Daylight,Under Construction,<10 min
R297,297,Rural Road,No Light,Dry,20-30 min
R298,298,Rural Road,Daylight,Dry,<10 min
R299,299,Highway,Daylight,Wet,20-30 min
R300,300,Expressway,No Light,Under Construction,<10 min
R301,301,Highway,Daylight,Dry,>30 min
R302,302,Highway,No Light,Wet,<10 min
R303,303,City Road,Street Light,Under Construction,>30 min
R304,304,Highway,Street Light,Damaged,10-20 min
R305,305,Expressway,Dim Light,Under Construction,10-20 min
R306,306,Highway,Street Light,Damaged,>30 min
R307,307,Highway,Dim Light,Dry,20-30 min
R308,308,Expressway,Daylight,Dry,>30 min
R309,309,City Road,Street Light,Wet,10-20 min
R310,310,Expressway,Street Light,Damaged,10-20 min
R311,311,City Road,Street Light,Damaged,10-20 min
R312,312,City Road,No Light,Damaged,10-20 min
R313,313,Rural Road,Daylight,Dry,10-20 min
R314,314,Expressway,Dim Light,Under Construction,>30 min
R315,315,City Road,Dim Light,Dry,10-20 min
R316,316,Rural Road,Dim Light,Dry,10-20 min
R317,317,Expressway,Dim Light,Dry,10-20 min
R318,318,Highway,Daylight,Dry,20-30 min
R319,319,City Road,Street Light,Dry,<10 min
R320,320,Rural Road,Dim Light,Damaged,20-30 min
R321,321,Rural Road,Street Light,Wet,>30 min
R322,322,Highway,Street Light,Wet,<10 min
R323,323,Rural Road,Daylight,Damaged,10-20 min
R324,324,Highway,Daylight,Dry,<10 min
R325,325,Expressway,Street Light,Damaged,10-20 min
R326,326,Rural Road,Daylight,Dry,>30 min
R327,327,City Road,Dim Light,Wet,20-30 min
R328,328,City Road,Street Light,Damaged,20-30 min
R329,329,Highway,Street Light,Under Construction,20-30 min
R330,330,City Road,Daylight,Damaged,<10 min
R331,331,City Road,Dim Light,Wet,>30 min
R332,332,City Road,Dim Light,Wet,>30 min
R333,333,City Road,No Light,Under Construction,<10 min
R334,334,Rural Road,No Light,Wet,<10 min
R335,335,Highway,Street Light,Under Construction,10-20 min
R336,336,Rural Road,Street Light,Damaged,20-30 min
R337,337,Rural Road,No Light,Dry,20-30 min
R338,338,City Road,No Light,Under Construction,<10 min
R339,339,Expressway,Street Light,Wet,<10 min
R340,340,Rural Road,Street Light,Dry,10-20 min
R341,341,City Road,Daylight,Under Construction,20-30 min
R342,342,Rural Road,Daylight,Damaged,20-30 min
R343,343,Highway,No Light,Damaged,<10 min
R344,344,City Road,Street Light,Under Construction,10-20 min
R345,345,Expressway,Street Light,Dry,<10 min
R346,346,Expressway,Street Light,Wet,<10 min
R347,347,City Road,Dim Light,Dry,10-20 min
R348,348,Rural Road,No Light,Dry,<10 min
R349,349,City Road,Street Light,Wet,10-20 min
R350,350,Highway,Street Light,Dry,<10 min
R351,351,Highway,Daylight,Damaged,<10 min
R352,352,Highway,Daylight,Damaged,20-30 min
R353,353,Rural Road,Daylight,Damaged,>30 min
R354,354,Expressway,No Light,Wet,<10 min
R355,355,Rural Road,Street Light,Wet,10-20 min
R356,356,Rural Road,No Light,Damaged,>30 min
R357,357,Rural Road,Daylight,Under Construction,>30 min
R358,358,City Road,Street Light,Wet,>30 min
R359,359,Highway,No Light,Wet,>30 min
R360,360,Highway,Daylight,Wet,20-30 min
R361,361,Rural Road,No Light,Damaged,10-20 min
R362,362,Highway,Street Light,Wet,10-20 min
R363,363,City Road,Street Light,Dry,20-30 min
R364,364,Expressway,Street Light,Dry,>30 min
R365,365,City Road,Daylight,Damaged,>30 min
R366,366,Rural Road,Daylight,Dry,>30 min
R367,367,City Road,Daylight,Damaged,>30 min
R368,368,City Road,Daylight,Under Construction,20-30 min
R369,369,Rural Road,Dim Light,Dry,10-20 min
R370,370,Expressway,No Light,Damaged,<10 min
R371,371,City Road,Street Light,Wet,20-30 min
R372,372,City Road,Dim Light,Wet,>30 min
R373,373,City Road,Street Light,Damaged,10-20 min
R374,374,Expressway,Street Light,Wet,10-20 min
R375,375,City Road,Daylight,Wet,10-20 min
R376,376,Rural Road,Street Light,Wet,<10 min
R377,377,City Road,Daylight,Wet,<10 min
R378,378,Highway,Street Light,Damaged,10-20 min
R379,379,Expressway,No Light,Damaged,>30 min
R380,380,Rural Road,Daylight,Under Construction,<10 min
R381,381,Rural Road,No Light,Dry,<10 min
R382,382,Rural Road,Street Light,Wet,20-30 min
R383,383,City Road,No Light,Dry,>30 min
R384,384,City Road,No Light,Wet,10-20 min
R385,385,City Road,No Light,Dry,20-30 min
R386,386,Rural Road,No Light,Damaged,20-30 min
R387,387,Highway,Dim Light,Damaged,10-20 min
R388,388,Highway,Dim Light,Under Construction,<10 min
R389,389,Rural Road,Street Light,Wet,10-20 min
R390,390,Highway,Street Light,Wet,>30 min
R391,391,Highway,Street Light,Dry,<10 min
R392,392,City Road,Dim Light,Under Construction,10-20 min
R393,393,Expressway,Dim Light,Wet,>30 min
R394,394,Rural Road,Daylight,Dry,<10 min
R395,395,Rural Road,No Light,Under Construction,<10 min
R396,396,Highway,Daylight,Dry,<10 min
R397,397,City Road,Dim Light,Under Construction,10-20 min
R398,398,City Road,Daylight,Dry,10-20 min
R399,399,Rural Road,Street Light,Dry,<10 min
R400,400,Highway,No Light,Wet,>30 min
R401,401,Rural Road,Dim Light,Damaged,20-30 min
R402,402,Highway,Street Light,Dry,>30 min
R403,403,Highway,Street Light,Dry,>30 min
R404,404,Rural Road,Street Light,Wet,>30 min
R405,405,Highway,Dim Light,Damaged,10-20 min
R406,406,City Road,Daylight,Damaged,>30 min
R407,407,Highway,Dim Light,Wet,10-20 min
R408,408,City Road,Daylight,Damaged,>30 min
R409,409,Highway,Daylight,Wet,>30 min
R410,410,Highway,Dim Light,Dry,10-20 min
R411,411,Expressway,Daylight,Wet,10-20 min
R412,412,City Road,No Light,Wet,>30 min
R413,413,City Road,Daylight,Dry,<10 min
R414,414,City Road,Dim Light,Wet,<10 min
R415,415,Rural Road,Street Light,Under Construction,20-30 min
R416,416,Highway,No Light,Under Construction,10-20 min
R417,417,Highway,Street Light,Dry,>30 min
R418,418,Highway,Dim Light,Dry,>30 min
R419,419,Expressway,Daylight,Damaged,<10 min
R420,420,Highway,Street Light,Under Construction,10-20 min
R421,421,Expressway,Street Light,Damaged,<10 min
R422,422,Expressway,Daylight,Under Construction,10-20 min
R423,423,Rural Road,Street Light,Dry,<10 min
R424,424,City Road,Daylight,Dry,20-30 min
R425,425,Rural Road,Daylight,Under Construction,10-20 min
R426,426,Rural Road,Daylight,Dry,<10 min
R427,427,Expressway,Daylight,Damaged,>30 min
R428,428,Highway,Dim Light,Dry,10-20 min
R429,429,City Road,Street Light,Damaged,10-20 min
R430,430,Expressway,Street Light,Wet,>30 min
R431,431,City Road,Dim Light,Wet,>30 min
R432,432,City Road,Street Light,Dry,>30 min
R433,433,Rural Road,Dim Light,Damaged,10-20 min
R434,434,City Road,Daylight,Damaged,<10 min
R435,435,Expressway,Daylight,Damaged,>30 min
R436,436,Highway,No Light,Under Construction,<10 min
R437,437,Rural Road,Street Light,Damaged,>30 min
R438,438,Rural Road,Daylight,Dry,20-30 min
R439,439,Expressway,No Light,Under Construction,>30 min
R440,440,Highway,Dim Light,Under Construction,20-30 min
R441,441,Highway,Street Light,Wet,10-20 min
R442,442,City Road,No Light,Dry,>30 min
R443,443,Rural Road,Daylight,Wet,>30 min
R444,444,Highway,Daylight,Dry,>30 min
R445,445,Expressway,No Light,Wet,<10 min
R446,446,Expressway,Dim Light,Dry,<10 min
R447,447,Expressway,Dim Light,Under Construction,>30 min
R448,448,City Road,Daylight,Damaged,<10 min
R449,449,Rural Road,No Light,Dry,10-20 min
R450,450,Expressway,Street Light,Under Construction,10-20 min
R451,451,City Road,Daylight,Damaged,10-20 min
R452,452,Expressway,Dim Light,Under Construction,10-20 min
R453,453,City Road,Dim Light,Damaged,<10 min
R454,454,Rural Road,No Light,Dry,>30 min
R455,455,Highway,No Light,Damaged,<10 min
R456,456,Highway,Daylight,Damaged,<10 min
R457,457,Highway,Dim Light,Wet,>30 min
R458,458,Highway,Dim Light,Damaged,>30 min
R459,459,Rural Road,Daylight,Wet,20-30 min
R460,460,Highway,Dim Light,Dry,10-20 min
R461,461,City Road,No Light,Under Construction,10-20 min
R462,462,Rural Road,Street Light,Wet,>30 min
R463,463,Highway,Street Light,Dry,>30 min
R464,464,City Road,No Light,Wet,20-30 min
R465,465,City Road,No Light,Dry,20-30 min
R466,466,Highway,Daylight,Under Construction,20-30 min
R467,467,City Road,Daylight,Damaged,10-20 min
R468,468,Rural Road,No Light,Damaged,>30 min
R469,469,City Road,No Light,Damaged,>30 min
R470,470,Expressway,No Light,Under Construction,>30 min
R471,471,Highway,Street Light,Dry,>30 min
R472,472,Highway,No Light,Wet,<10 min
R473,473,Rural Road,No Light,Under Construction,<10 min
R474,474,City Road,Dim Light,Wet,10-20 min
R475,475,Rural Road,Dim Light,Wet,20-30 min
R476,476,Expressway,Street Light,Damaged,>30 min
R477,477,City Road,Street Light,Under Construction,20-30 min
R478,478,Expressway,No Light,Wet,>30 min
R479,479,Rural Road,Daylight,Under Construction,20-30 min
R480,480,Highway,No Light,Dry,<10 min
R481,481,Highway,Daylight,Dry,<10 min
R482,482,City Road,Daylight,Wet,20-30 min
R483,483,Rural Road,Dim Light,Damaged,>30 min
R484,484,Expressway,Street Light,Under Construction,<10 min
R485,485,City Road,Daylight,Dry,20-30 min
R486,486,Rural Road,Street Light,Dry,20-30 min
R487,487,Rural Road,No Light,Wet,20-30 min
R488,488,City Road,Street Light,Damaged,<10 min
R489,489,Highway,No Light,Damaged,<10 min
R490,490,Highway,Dim Light,Wet,10-20 min
R491,491,Expressway,Street Light,Damaged,>30 min
R492,492,Highway,Daylight,Wet,20-30 min
R493,493,Highway,Street Light,Dry,<10 min
R494,494,City Road,No Light,Under Construction,20-30 min
R495,495,Expressway,No Light,Under Construction,10-20 min
R496,496,Rural Road,No Light,Wet,<10 min
R497,497,City Road,Dim Light,Under Construction,10-20 min
R498,498,Rural Road,Street Light,Damaged,10-20 min
R499,499,Expressway,Daylight,Under Construction,10-20 min
R500,500,Expressway,Street Light,Damaged,>30 min
R501,501,Rural Road,Daylight,Dry,>30 min
R502,502,City Road,No Light,Damaged,<10 min
R503,503,City Road,Daylight,Damaged,20-30 min
R504,504,Expressway,Daylight,Dry,10-20 min
R505,505,Expressway,Daylight,Damaged,20-30 min
R506,506,Expressway,Street Light,Damaged,>30 min
R507,507,City Road,Dim Light,Under Construction,<10 min
R508,508,Highway,Dim Light,Under Construction,>30 min
R509,509,Expressway,Dim Light,Under Construction,20-30 min
R510,510,Rural Road,Street Light,Wet,10-20 min
R511,511,Rural Road,Dim Light,Under Construction,<10 min
R512,512,City Road,Daylight,Wet,>30 min
R513,513,City Road,Street Light,Damaged,<10 min
R514,514,Rural Road,Dim Light,Under Construction,10-20 min
R515,515,Expressway,No Light,Dry,10-20 min
R516,516,Highway,Dim Light,Dry,20-30 min
R517,517,Expressway,Daylight,Dry,10-20 min
R518,518,Highway,Street Light,Wet,<10 min
R519,519,Highway,Street Light,Under Construction,<10 min
R520,520,Expressway,Daylight,Wet,10-20 min
R521,521,Expressway,Daylight,Dry,<10 min
R522,522,Rural Road,No Light,Damaged,>30 min
R523,523,Highway,No Light,Dry,20-30 min
R524,524,Highway,Dim Light,Dry,<10 min
R525,525,Rural Road,Daylight,Damaged,>30 min
R526,526,Rural Road,Dim Light,Dry,>30 min
R527,527,Rural Road,Street Light,Under Construction,10-20 min
R528,528,City Road,Dim Light,Under Construction,>30 min
R529,529,City Road,Daylight,Wet,10-20 min
R530,530,Expressway,Dim Light,Wet,<10 min
R531,531,City Road,Dim Light,Dry,10-20 min
R532,532,City Road,No Light,Under Construction,20-30 min
R533,533,Rural Road,Dim Light,Dry,20-30 min
R534,534,Expressway,Street Light,Damaged,10-20 min
R535,535,Rural Road,Daylight,Dry,>30 min
R536,536,Expressway,Street Light,Under Construction,<10 min
R537,537,Highway,Daylight,Under Construction,10-20 min
R538,538,Highway,Dim Light,Under Construction,>30 min
R539,539,Rural Road,No Light,Damaged,>30 min
R540,540,Rural Road,No Light,Wet,>30 min
R541,541,Expressway,No Light,Damaged,10-20 min
R542,542,Highway,Street Light,Wet,<10 min
R543,543,Expressway,Dim Light,Under Construction,>30 min
R544,544,City Road,Street Light,Dry,20-30 min
R545,545,Highway,Daylight,Under Construction,20-30 min
R546,546,City Road,Dim Light,Under Construction,<10 min
R547,547,Rural Road,Dim Light,Under Construction,<10 min
R548,548,Rural Road,No Light,Under Construction,20-30 min
R549,549,Rural Road,Daylight,Dry,10-20 min
R550,550,City Road,No Light,Wet,20-30 min
R551,551,Expressway,Street Light,Under Construction,<10 min
R552,552,City Road,No Light,Dry,<10 min
R553,553,Highway,No Light,Under Construction,20-30 min
R554,554,Rural Road,Daylight,Wet,<10 min
R555,555,City Road,Street Light,Under Construction,<10 min
R556,556,Highway,Street Light,Under Construction,>30 min
R557,557,Rural Road,No Light,Dry,>30 min
R558,558,Expressway,Daylight,Damaged,<10 min
