casualty_id,accident_id,injury_type,age
C193,193,Serious,4
C194,194,Serious,12
C195,195,None,27
C196,196,Serious,68
C197,197,Serious,62
C198,198,Minor,19
C199,199,Fatal,15
C200,200,None,34
C201,201,None,36
C202,202,Serious,1
C203,203,None,7
C204,204,Serious,27
C205,205,Fatal,42
C206,206,Fatal,75
C207,207,Fatal,12
C208,208,Minor,10
C209,209,Serious,67
C210,210,Fatal,51
C211,211,Serious,26
C212,212,Minor,66
C213,213,None,59
C214,214,Serious,11
C215,215,Minor,9
C216,216,Serious,73
C217,217,Minor,12
C218,218,Minor,18
C219,219,Fatal,15
C220,220,None,73
C221,221,None,54
C222,222,Serious,39
C223,223,None,19
C224,224,Minor,44
C225,225,Fatal,25
C226,226,Serious,37
C227,227,Minor,53
C228,228,None,24
C229,229,Fatal,42
C230,230,Minor,11
C231,231,Fatal,37
C232,232,Serious,51
C233,233,Fatal,6
C234,234,None,4
C235,235,Minor,41
C236,236,Minor,65
C237,237,Serious,9
C238,238,Serious,23
C239,239,Serious,65
C240,240,Serious,34
C241,241,Fatal,57
C242,242,None,42
C243,243,Serious,70
C244,244,Fatal,26
C245,245,None,60
C246,246,Serious,57
C247,247,None,54
C248,248,Fatal,33
C249,249,Serious,30
C250,250,None,3
C251,251,Minor,60
C252,252,Minor,53
C253,253,Minor,17
C254,254,None,54
C255,255,None,30
C256,256,Serious,39
C257,257,Fatal,72
C258,258,Fatal,66
C259,259,Minor,23
C260,260,Serious,47
C261,261,None,26
C262,262,Fatal,24
C263,263,None,43
C264,264,Fatal,33
C265,265,Fatal,59
C266,266,Serious,7
C267,267,Fatal,52
C268,268,None,29
C269,269,Serious,30
C270,270,Serious,32
C271,271,None,62
C272,272,Minor,32
C273,273,Fatal,33
C274,274,Serious,13
C275,275,Fatal,56
C276,276,Fatal,58
C277,277,None,38
C278,278,Serious,63
C279,279,None,17
C280,280,Fatal,27
C281,281,Serious,27
C282,282,None,17
C283,283,None,75
C284,284,Fatal,48
C285,285,Fatal,25
C286,286,Fatal,5
C287,287,Minor,10
C288,288,Fatal,41
C289,289,Minor,31
C290,290,Serious,59
C291,291,Minor,75
C292,292,None,2
C293,293,None,27
C294,294,Minor,63
C295,295,Minor,49
C296,296,Serious,66
C297,297,Serious,68
C298,298,Serious,16
C299,299,Fatal,36
C300,300,None,52
C301,301,Minor,41
C302,302,Fatal,60
C303,303,None,50
C304,304,None,3
C305,305,Serious,38
C306,306,Fatal,36
C307,307,Minor,62
C308,308,Minor,5
C309,309,Minor,32
C310,310,Serious,28
C311,311,Fatal,12
C312,312,None,21
C313,313,Fatal,12
C314,314,None,37
C315,315,None,22
C316,316,None,46
C317,317,Fatal,7
C318,318,Fatal,61
C319,319,Fatal,23
C320,320,Minor,26
C321,321,None,4
C322,322,None,23
C323,323,Minor,12
C324,324,Serious,33
C325,325,Serious,59
C326,326,Minor,65
C327,327,Serious,71
C328,328,Serious,3
C329,329,None,37
C330,330,Serious,34
C331,331,Minor,16
C332,332,None,56
C333,333,None,56
C334,334,None,63
C335,335,None,23
C336,336,Minor,37
C337,337,Fatal,26
C338,338,Minor,22
C339,339,Fatal,57
C340,340,Fatal,2
C341,341,Serious,5
C342,342,Minor,15
C343,343,Minor,4
C344,344,Minor,70
C345,345,None,41
C346,346,None,12
C347,347,None,42
C348,348,None,67
C349,349,Serious,35
C350,350,None,51
C351,351,Minor,19
C352,352,Minor,27
C353,353,None,2
C354,354,Minor,51
C355,355,None,15
C356,356,None,70
C357,357,Fatal,18
C358,358,Minor,44
C359,359,Fatal,57
C360,360,Fatal,52
C361,361,Serious,33
C362,362,Fatal,5
C363,363,Fatal,64
C364,364,Fatal,10
C365,365,None,71
C366,366,Fatal,60
C367,367,Minor,66
C368,368,Fatal,6
C369,369,Serious,54
C370,370,Fatal,23
C371,371,None,43
C372,372,Minor,44
C373,373,Fatal,14
C374,374,Fatal,31
C375,375,None,54
C376,376,Serious,69
C377,377,Minor,57
C378,378,Fatal,48
C379,379,None,56
C380,380,Fatal,42
C381,381,Serious,9
C382,382,Minor,34
C383,383,None,56
C384,384,Fatal,22
C385,385,None,8
C386,386,Serious,20
C387,387,Fatal,49
C388,388,Minor,37
C389,389,Fatal,70
C390,390,Serious,62
C391,391,Minor,71
C392,392,None,15
C393,393,Minor,40
C394,394,Serious,26
C395,395,Fatal,72
C396,396,Serious,2
C397,397,Minor,64
C398,398,Fatal,46
C399,399,None,9
C400,400,Serious,41
C401,401,Minor,2
C402,402,Serious,13
C403,403,Minor,11
C404,404,Fatal,6
C405,405,Serious,70
C406,406,Fatal,17
C407,407,Minor,11
C408,408,None,20
C409,409,None,55
C410,410,Fatal,48
C411,411,Fatal,15
C412,412,Serious,30
C413,413,Fatal,10
C414,414,None,46
C415,415,Fatal,64
C416,416,Fatal,19
C417,417,Fatal,22
C418,418,None,59
C419,419,Serious,27
C420,420,Fatal,51
C421,421,Fatal,53
C422,422,Serious,13
C423,423,Fatal,4
C424,424,None,59
C425,425,Serious,42
C426,426,Fatal,18
C427,427,None,53
C428,428,Minor,31
C429,429,Fatal,25
C430,430,Fatal,26
C431,431,Serious,28
C432,432,None,59
C433,433,Fatal,57
C434,434,Minor,24
C435,435,Minor,15
C436,436,Minor,17
C437,437,None,28
C438,438,None,27
C439,439,Serious,22
C440,440,None,45
C441,441,Minor,18
C442,442,Minor,30
C443,443,Serious,5
C444,444,Minor,7
C445,445,None,74
C446,446,None,58
C447,447,Serious,42
C448,448,Minor,47
C449,449,Serious,12
C450,450,None,73
C451,451,None,11
C452,452,None,13
C453,453,Minor,75
C454,454,Serious,45
C455,455,Fatal,3
C456,456,Minor,56
C457,457,Serious,52
C458,458,None,40
C459,459,None,54
C460,460,Serious,19
C461,461,Minor,13
C462,462,None,43
C463,463,Fatal,6
C464,464,None,31
C465,465,None,44
C466,466,Serious,38
C467,467,None,33
C468,468,Fatal,70
C469,469,Serious,57
C470,470,Fatal,7
C471,471,Minor,10
C472,472,None,66
C473,473,None,59
C474,474,Fatal,6
C475,475,Fatal,52
C476,476,Serious,8
C477,477,Serious,54
C478,478,Fatal,28
C479,479,None,34
C480,480,Fatal,12
C481,481,None,18
C482,482,Fatal,2
C483,483,Fatal,34
C484,484,Serious,30
C485,485,None,17
C486,486,Serious,1
C487,487,Serious,57
C488,488,Minor,52
C489,489,None,19
C490,490,Serious,44
C491,491,Fatal,35
C492,492,Fatal,29
C493,493,None,71
C494,494,None,11
C495,495,Minor,73
C496,496,Fatal,55
C497,497,Fatal,19
C498,498,Fatal,73
C499,499,Serious,56
C500,500,Fatal,23
C501,501,Minor,18
C502,502,None,53
C503,503,Serious,3
C504,504,Minor,41
C505,505,Fatal,33
C506,506,Serious,73
C507,507,Minor,75
C508,508,Minor,13
C509,509,Minor,45
C510,510,Minor,74
C511,511,Minor,3
C512,512,Serious,24
C513,513,Minor,62
C514,514,Serious,5
C515,515,Minor,51
C516,516,Fatal,64
C517,517,None,28
C518,518,Minor,61
C519,519,None,15
C520,520,Serious,73
C521,521,Minor,27
C522,522,Fatal,9
C523,523,None,4
C524,524,Serious,6
C525,525,Fatal,60
C526,526,Fatal,18
C527,527,Minor,57
C528,528,Serious,5
C529,529,Fatal,47
C530,530,Fatal,75
C531,531,Serious,23
C532,532,Fatal,43
C533,533,None,40
C534,534,Fatal,51
C535,535,Minor,51
C536,536,Fatal,18
C537,537,None,22
C538,538,Minor,22
C539,539,Fatal,2
C540,540,Fatal,35
C541,541,None,28
C542,542,None,64
C543,543,Serious,43
C544,544,Serious,14
C545,545,None,47
C546,546,Serious,12
C547,547,Serious,54
C548,548,Fatal,28
C549,549,Minor,34
C550,550,Minor,11
C551,551,None,17
C552,552,Minor,42
C553,553,Minor,21
C554,554,None,32
C555,555,Fatal,24
C556,556,None,48
C557,557,Serious,27
C558,558,Serious,5
C559,559,Serious,34
C560,560,None,37
C561,561,Minor,1
C562,562,Minor,35
C563,563,None,48
C564,564,None,9
C565,565,Fatal,59
C566,566,None,27
C567,567,Minor,62
C568,568,None,30
C569,569,Serious,70
C570,570,Minor,11
C571,571,Serious,32
C572,572,Serious,62
C573,573,None,40
C574,574,Serious,13
C575,575,Fatal,51
C576,576,Serious,63
C577,577,Fatal,46
C578,578,Serious,32
C579,579,Minor,64
C580,580,Fatal,10
C581,581,Minor,26
C582,582,Fatal,1
C583,583,Serious,57
C584,584,Minor,74
C585,585,None,37
C586,586,Minor,24
C587,587,Fatal,1
C588,588,Serious,19
C589,589,Minor,48
C590,590,Minor,57
C591,591,Serious,37
C592,592,Serious,5
C593,593,Serious,63
C594,594,None,66
C595,595,Minor,52
C596,596,Minor,72
C597,597,Serious,40
C598,598,Serious,65
C599,599,Minor,16
C600,600,Fatal,46
C601,601,None,51
C602,602,None,64
C603,603,Fatal,3
C604,604,None,28
C605,605,None,45
C606,606,None,54
C607,607,Serious,4
C608,608,Minor,51
C609,609,Serious,35
C610,610,Serious,34
C611,611,Fatal,73
C612,612,Serious,24
C613,613,None,70
C614,614,None,40
C615,615,Minor,63
C616,616,Serious,40
C617,617,Minor,61
C618,618,Serious,32
C619,619,Minor,5
C620,620,Minor,17
C621,621,Minor,44
C622,622,Fatal,51
C623,623,None,15
C624,624,None,66
C625,625,None,49
C626,626,Minor,7
C627,627,Fatal,4
C628,628,None,43
C629,629,Serious,32
C630,630,Fatal,47
C631,631,Serious,27
C632,632,Serious,25
C633,633,Fatal,47
C634,634,Minor,34
C635,635,Serious,67
C636,636,Serious,17
C637,637,None,45
C638,638,Fatal,61
C639,639,Fatal,58
C640,640,Serious,23
C641,641,Minor,71
C642,642,Fatal,39
C643,643,Fatal,63
C644,644,Serious,58
C645,645,Serious,36
C646,646,None,65
C647,647,Fatal,59
C648,648,None,32
C649,649,Fatal,17
C650,650,Minor,22
C651,651,Minor,24
C652,652,Fatal,26
C653,653,Serious,36
C654,654,Minor,47
C655,655,None,31
C656,656,Minor,71
C657,657,Serious,6
C658,658,None,31
C659,659,Minor,1
C660,660,Minor,29
C661,661,Serious,48
C662,662,Serious,32
C663,663,None,2
C664,664,Minor,40
C665,665,Serious,12
C666,666,Minor,29
C667,667,Serious,16
C668,668,Serious,39
C669,669,Minor,61
C670,670,Serious,24
C671,671,None,26
C672,672,Fatal,61
C673,673,None,42
C674,674,Fatal,25
C675,675,None,33
C676,676,Fatal,16
C677,677,Fatal,72
C678,678,Minor,12
C679,679,None,46
C680,680,None,74
C681,681,Fatal,16
C682,682,Minor,24
C683,683,Minor,13
C684,684,Serious,20
C685,685,None,19
C686,686,Fatal,29
C687,687,None,47
C688,688,Minor,12
C689,689,None,6
C690,690,None,26
C691,691,Fatal,20
C692,692,None,10
C693,693,None,70
C694,694,Fatal,46
C695,695,None,74
C696,696,Minor,21
C697,697,Minor,10
C698,698,Fatal,34
C699,699,Fatal,58
C700,700,Serious,74
C701,701,Minor,32
C702,702,Serious,36
C703,703,Serious,55
C704,704,None,60
C705,705,Fatal,13
C706,706,None,26
C707,707,None,71
C708,708,Fatal,2
C709,709,None,57
C710,710,Serious,4
C711,711,None,31
C712,712,None,51
C713,713,Serious,68
C714,714,Fatal,4
C715,715,Serious,28
C716,716,None,61
C717,717,Minor,66
C718,718,Serious,5
C719,719,None,25
C720,720,None,28
C721,721,Minor,19
C722,722,Minor,4
C723,723,Minor,3
C724,724,Minor,2
C725,725,Fatal,53
C726,726,Fatal,66
C727,727,Minor,67
C728,728,None,28
C729,729,None,62
C730,730,Fatal,54
C731,731,Minor,73
C732,732,Minor,26
C733,733,None,21
C734,734,Fatal,33
C735,735,Minor,42
C736,736,Fatal,27
C737,737,Fatal,24
C738,738,Serious,27
C739,739,None,6
C740,740,Serious,46
C741,741,None,22
C742,742,Minor,34
C743,743,Fatal,5
C744,744,None,56
C745,745,Fatal,30
C746,746,Minor,44
C747,747,None,51
C748,748,Fatal,67
C749,749,None,52
C750,750,None,37
C751,751,Fatal,4
C752,752,Fatal,30
C753,753,None,17
C754,754,Fatal,28
C755,755,Minor,33
C756,756,Minor,21
C757,757,None,27
C758,758,Fatal,59
C759,759,Minor,74
C760,760,Minor,49
C761,761,None,54
C762,762,Serious,49
C763,763,None,27
C764,764,Serious,60
C765,765,None,60
C766,766,Minor,71
C767,767,Minor,56
C768,768,Minor,10
C769,769,Serious,18
C770,770,None,44
C771,771,Serious,44
C772,772,Serious,53
C773,773,Serious,42
C774,774,None,44
C775,775,Serious,23
C776,776,None,51
C777,777,Fatal,71
C778,778,Minor,16
C779,779,Minor,35
C780,780,None,50
C781,781,None,30
C782,782,Minor,14
C783,783,Minor,24
C784,784,Minor,4
C785,785,None,35
C786,786,Minor,5
C787,787,None,11
C788,788,Fatal,61
C789,789,Serious,40
C790,790,Minor,34
C791,791,Serious,37
C792,792,None,56
C793,793,Fatal,55
C794,794,None,69
C795,795,None,16
C796,796,Fatal,27
C797,797,None,44
C798,798,Serious,59
C799,799,None,27
C800,800,Fatal,28
C801,801,Fatal,11
C802,802,Fatal,67
C803,803,Fatal,34
C804,804,Fatal,33
C805,805,Minor,43
C806,806,Serious,71
C807,807,Fatal,55
C808,808,Minor,48
C809,809,Serious,43
C810,810,Serious,46
C811,811,Serious,12
C812,812,None,11
C813,813,Minor,75
C814,814,Serious,40
C815,815,Serious,2
C816,816,Serious,29
C817,817,Minor,64
C818,818,Serious,45
C819,819,None,67
C820,820,Minor,60
C821,821,Serious,4
C822,822,Serious,1
C823,823,Serious,34
C824,824,Minor,66
C825,825,Serious,41
C826,826,Minor,67
C827,827,None,29
C828,828,Fatal,27
C829,829,Fatal,19
C830,830,None,20
C831,831,Fatal,74
C832,832,Fatal,54
C833,833,Fatal,3
C834,834,Fatal,33
C835,835,Minor,55
C836,836,None,35
C837,837,Fatal,75
C838,838,None,17
C839,839,Minor,74
C840,840,Fatal,38
C841,841,None,50
C842,842,Fatal,2
C843,843,Serious,14
C844,844,Fatal,39
C845,845,Serious,22
C846,846,None,21
C847,847,Serious,68
C848,848,Minor,7
C849,849,Serious,37
C850,850,Fatal,64
C851,851,Serious,2
C852,852,Fatal,57
C853,853,None,54
C854,854,Serious,54
C855,855,Fatal,4
C856,856,Minor,64
C857,857,Serious,30
C858,858,Serious,58
C859,859,Serious,66
C860,860,Serious,51
C861,861,Serious,48
C862,862,Fatal,68
C863,863,Serious,11
C864,864,Minor,72
C865,865,Serious,18
C866,866,Serious,35
C867,867,Minor,71
C868,868,Minor,18
C869,869,None,64
C870,870,Serious,34
C871,871,Fatal,16
C872,872,Serious,28
C873,873,Minor,53
C874,874,Serious,68
C875,875,None,38
C876,876,Serious,66
C877,877,Serious,62
C878,878,Minor,75
C879,879,None,8
C880,880,Serious,48
C881,881,None,22
C882,882,Fatal,10
C883,883,Fatal,38
C884,884,None,5
C885,885,Fatal,58
C886,886,Fatal,38
C887,887,Serious,3
C888,888,Serious,35
C889,889,Fatal,55
C890,890,Minor,35
C891,891,Serious,26
C892,892,None,64
C893,893,None,47
C894,894,Fatal,24
C895,895,Fatal,3
C896,896,Serious,2
C897,897,Minor,22
C898,898,None,11
C899,899,Serious,73
C900,900,Fatal,11
C901,901,Serious,64
C902,902,None,30
C903,903,Serious,31
C904,904,Minor,10
C905,905,None,33
C906,906,Fatal,74
C907,907,Minor,49
C908,908,Serious,60
C909,909,Minor,37
C910,910,Minor,56
C911,911,Serious,26
C912,912,None,47
C913,913,None,39
C914,914,Fatal,29
C915,915,None,73
C916,916,Fatal,25
C917,917,Minor,34
C918,918,Serious,52
C919,919,None,24
C920,920,Fatal,53
C921,921,None,18
C922,922,Serious,35
C923,923,Serious,1
C924,924,Fatal,9
C925,925,Minor,65
C926,926,Fatal,18
C927,927,Minor,60
C928,928,Serious,3
C929,929,Serious,5
C930,930,Fatal,73
C931,931,Minor,52
C932,932,Fatal,2
C933,933,Fatal,54
C934,934,None,49
C935,935,Minor,68
C936,936,Serious,4
C937,937,Minor,53
C938,938,Serious,4
C939,939,None,17
C940,940,Fatal,69
C941,941,None,32
C942,942,Minor,58
C943,943,Serious,59
C944,944,Minor,26
C945,945,None,55
C946,946,Serious,21
C947,947,Fatal,45
C948,948,Fatal,74
C949,949,Minor,55
C950,950,Minor,68
C951,951,Fatal,43
C952,952,Minor,27
C953,953,None,35
C954,954,Fatal,28
C955,955,Minor,59
C956,956,None,59
C957,957,Serious,5
C958,958,None,31
C959,959,Fatal,40
C960,960,None,36
C961,961,Serious,21
C962,962,Fatal,53
C963,963,Minor,54
C964,964,Fatal,35
C965,965,Serious,36
C966,966,None,59
C967,967,Minor,30
C968,968,Fatal,50
C969,969,None,16
C970,970,Fatal,47
C971,971,None,8
C972,972,Fatal,11
C973,973,Fatal,65
C974,974,None,24
C975,975,Fatal,74
C976,976,Serious,40
C977,977,Serious,64
C978,978,Serious,20
C979,979,Minor,39
C980,980,Fatal,72
C981,981,Serious,60
C982,982,Serious,40
C983,983,None,33
C984,984,None,18
C985,985,Fatal,45
C986,986,Minor,32
C987,987,Fatal,31
C988,988,Serious,63
C989,989,Minor,36
C990,990,None,68
C991,991,None,56
C992,992,Serious,70
C993,993,Minor,22
C994,994,Serious,60
C995,995,Serious,70
C996,996,Serious,15
C997,997,Fatal,68
C998,998,None,17
C999,999,Fatal,47
C1000,1000,Serious,26
C1001,1001,None,24
C1002,1002,Minor,72
C1003,1003,Fatal,51
C1004,1004,Serious,73
C1005,1005,None,6
C1006,1006,None,59
C1007,1007,Serious,72
C1008,1008,Minor,67
C1009,1009,None,47
C1010,1010,Serious,16
C1011,1011,Minor,32
C1012,1012,Fatal,21
C1013,1013,Serious,49
C1014,1014,Minor,10
C1015,1015,Serious,2
C1016,1016,Minor,50
C1017,1017,Minor,71
C1018,1018,Minor,67
C1019,1019,Minor,16
C1020,1020,Minor,67
C1021,1021,Serious,51
C1022,1022,None,12
C1023,1023,None,16
C1024,1024,Fatal,52
C1025,1025,Minor,75
C1026,1026,Fatal,69
C1027,1027,Minor,67
C1028,1028,Serious,68
C1029,1029,Fatal,42
C1030,1030,Serious,14
C1031,1031,Serious,11
C1032,1032,None,17
C1033,1033,None,72
C1034,1034,Serious,37
C1035,1035,Fatal,5
C1036,1036,Fatal,46
C1037,1037,Serious,65
C1038,1038,Serious,36
C1039,1039,Fatal,40
C1040,1040,Minor,33
C1041,1041,Fatal,69
C1042,1042,None,46
C1043,1043,Serious,69
C1044,1044,Fatal,37
C1045,1045,Serious,26
C1046,1046,Minor,5
C1047,1047,Minor,49
C1048,1048,Minor,40
C1049,1049,Serious,52
C1050,1050,None,38
C1051,1051,Minor,32
C1052,1052,Fatal,68
C1053,1053,None,15
C1054,1054,None,27
C1055,1055,Minor,26
C1056,1056,Minor,6
C1057,1057,Minor,15
C1058,1058,None,19
C1059,1059,None,4
C1060,1060,Serious,1
C1061,1061,None,21
C1062,1062,None,18
C1063,1063,Fatal,1
C1064,1064,Minor,45
C1065,1065,None,3
C1066,1066,Serious,34
C1067,1067,Serious,2
C1068,1068,Fatal,29
C1069,1069,None,64
C1070,1070,None,31
C1071,1071,Minor,23
C1072,1072,Fatal,57
C1073,1073,Minor,75
C1074,1074,Serious,4
C1075,1075,Fatal,70
C1076,1076,Fatal,42
C1077,1077,Fatal,50
C1078,1078,Serious,62
C1079,1079,None,39
C1080,1080,Fatal,30
C1081,1081,None,55
C1082,1082,Fatal,53
C1083,1083,None,20
C1084,1084,None,55
C1085,1085,None,62
C1086,1086,Fatal,32
C1087,1087,Fatal,54
C1088,1088,None,70
C1089,1089,Serious,58
C1090,1090,Fatal,20
C1091,1091,None,13
C1092,1092,Fatal,62
C1093,1093,None,56
C1094,1094,Serious,70
C1095,1095,Serious,3
C1096,1096,None,63
C1097,1097,Fatal,23
C1098,1098,Serious,53
C1099,1099,Minor,30
C1100,1100,Minor,41
C1101,1101,Fatal,3
C1102,1102,Serious,8
C1103,1103,Minor,20
C1104,1104,Minor,20
C1105,1105,Fatal,20
C1106,1106,Fatal,13
C1107,1107,None,42
C1108,1108,None,8
C1109,1109,None,36
C1110,1110,None,14
C1111,1111,Minor,30
C1112,1112,Minor,58
C1113,1113,Minor,40
C1114,1114,Serious,49
C1115,1115,None,3
C1116,1116,Fatal,29
C1117,1117,Minor,5
C1118,1118,Fatal,17
C1119,1119,Fatal,64
C1120,1120,None,20
C1121,1121,Fatal,51
C1122,1122,Serious,40
C1123,1123,Serious,34
C1124,1124,Minor,67
C1125,1125,Fatal,65
C1126,1126,Serious,52
C1127,1127,Serious,1
C1128,1128,Serious,68
C1129,1129,None,65
C1130,1130,Serious,1
C1131,1131,Serious,41
C1132,1132,Serious,45
C1133,1133,None,59
C1134,1134,Minor,2
C1135,1135,Fatal,26
C1136,1136,Fatal,34
C1137,1137,None,73
C1138,1138,None,18
C1139,1139,Minor,25
C1140,1140,None,7
C1141,1141,Serious,60
C1142,1142,Minor,40
C1143,1143,Fatal,60
C1144,1144,Minor,11
C1145,1145,Minor,42
C1146,1146,Fatal,42
C1147,1147,Fatal,1
C1148,1148,Serious,52
C1149,1149,Minor,53
C1150,1150,Minor,64
C1151,1151,Fatal,68
C1152,1152,Minor,67
C1153,1153,Minor,49
C1154,1154,Minor,14
C1155,1155,Minor,10
C1156,1156,Serious,8
C1157,1157,Minor,59
C1158,1158,None,46
C1159,1159,Fatal,25
C1160,1160,None,44
C1161,1161,None,34
C1162,1162,None,39
C1163,1163,Serious,13
C1164,1164,Serious,63
C1165,1165,Serious,60
C1166,1166,None,45
C1167,1167,Serious,47
C1168,1168,Minor,30
C1169,1169,Fatal,36
C1170,1170,None,16
C1171,1171,None,29
C1172,1172,Minor,28
C1173,1173,Fatal,67
C1174,1174,Fatal,30
C1175,1175,None,19
C1176,1176,Minor,53
C1177,1177,None,69
C1178,1178,Serious,20
C1179,1179,None,10
C1180,1180,Minor,39
C1181,1181,Minor,20
C1182,1182,Fatal,49
C1183,1183,Minor,45
C1184,1184,Serious,52
C1185,1185,Serious,64
C1186,1186,Serious,44
C1187,1187,Fatal,15
C1188,1188,Fatal,51
C1189,1189,Minor,40
C1190,1190,Serious,72
C1191,1191,Minor,62
C1192,1192,Fatal,1
C1193,1193,None,47
C1194,1194,None,3
C1195,1195,Fatal,58
C1196,1196,Fatal,34
C1197,1197,None,9
C1198,1198,Serious,45
C1199,1199,Serious,61
C1200,1200,Minor,57
C1201,1201,Minor,47
C1202,1202,None,22
C1203,1203,Minor,46
C1204,1204,Fatal,58
C1205,1205,Minor,60
C1206,1206,Serious,74
C1207,1207,Fatal,62
C1208,1208,Serious,64
C1209,1209,Fatal,62
C1210,1210,None,64
C1211,1211,Serious,41
C1212,1212,Serious,1
C1213,1213,Serious,35
C1214,1214,None,8
C1215,1215,Serious,55
C1216,1216,Minor,29
C1217,1217,Serious,27
C1218,1218,Minor,50
C1219,1219,Serious,65
C1220,1220,None,45
C1221,1221,Minor,38
C1222,1222,Fatal,68
C1223,1223,Minor,25
C1224,1224,Fatal,60
C1225,1225,Serious,27
C1226,1226,None,16
C1227,1227,Serious,57
C1228,1228,None,31
C1229,1229,Fatal,2
C1230,1230,None,16
C1231,1231,Serious,26
C1232,1232,Minor,2
C1233,1233,Serious,3
C1234,1234,Serious,72
C1235,1235,Minor,34
C1236,1236,Minor,50
C1237,1237,Serious,70
C1238,1238,Fatal,70
C1239,1239,None,54
C1240,1240,Fatal,69
C1241,1241,None,56
C1242,1242,None,48
C1243,1243,Fatal,4
C1244,1244,Fatal,13
C1245,1245,Serious,56
C1246,1246,Serious,9
C1247,1247,Serious,4
C1248,1248,Minor,19
C1249,1249,Fatal,49
C1250,1250,None,60
C1251,1251,Fatal,74
