vehicle_id,accident_id,vehicle_type,vehicle_condition,driver_behavior,driver_age,passenger_count
V122,122,Bicycle,Poor,Overspeeding,38,3
V123,123,Truck,Good,Overspeeding,64,1
V124,124,Bus,Good,Fatigue,40,3
V125,125,Bicycle,Poor,Normal,22,2
V126,126,Bicycle,Poor,Distracted,64,2
V127,127,Van,Good,Normal,29,2
V128,128,Auto,Good,Drunk Driving,34,5
V129,129,Truck,Good,Drunk Driving,21,2
V130,130,Bus,Average,Fatigue,34,2
V131,131,Bike,Good,Overspeeding,26,4
V132,132,Bike,Average,Distracted,61,4
V133,133,Auto,Average,Drunk Driving,20,4
V134,134,Van,Good,Distracted,40,1
V135,135,Truck,Good,Fatigue,52,4
V136,136,Auto,Good,Drunk Driving,31,4
V137,137,Truck,Average,Drunk Driving,41,5
V138,138,Van,Poor,Distracted,22,4
V139,139,Truck,Good,Normal,41,5
V140,140,Car,Poor,Fatigue,20,5
V141,141,Car,Average,Normal,29,4
V142,142,Auto,Good,Distracted,56,2
V143,143,Bicycle,Good,Fatigue,27,1
V144,144,Truck,Good,Distracted,60,5
V145,145,Car,Poor,Drunk Driving,43,2
V146,146,Truck,Average,Drunk Driving,51,4
V147,147,Bus,Good,Fatigue,37,1
V148,148,Bus,Average,Distracted,55,3
V149,149,Bus,Good,Normal,37,1
V150,150,Bike,Average,Overspeeding,42,3
V151,151,Bike,Average,Fatigue,23,5
V152,152,Bus,Average,Fatigue,61,2
V153,153,Bicycle,Poor,Overspeeding,50,3
V154,154,Bus,Poor,Drunk Driving,32,4
V155,155,Truck,Good,Fatigue,22,5
V156,156,Bike,Average,Fatigue,52,3
V157,157,Bike,Good,Fatigue,49,4
V158,158,Auto,Good,Overspeeding,30,5
V159,159,Bus,Average,Drunk Driving,53,4
V160,160,Bus,Good,Drunk Driving,19,2
V161,161,Bike,Average,Fatigue,54,1
V162,162,Auto,Good,Overspeeding,25,3
V163,163,Bike,Good,Drunk Driving,50,3
V164,164,Bike,Good,Overspeeding,60,5
V165,165,Bus,Average,Normal,53,1
V166,166,Car,Poor,Distracted,20,2
V167,167,Bus,Average,Fatigue,45,3
V168,168,Truck,Average,Normal,19,2
V169,169,Bicycle,Poor,Overspeeding,46,4
V170,170,Van,Good,Overspeeding,61,2
V171,171,Bicycle,Poor,Drunk Driving,21,3
V172,172,Auto,Good,Overspeeding,37,5
V173,173,Auto,Good,Distracted,55,3
V174,174,Car,Good,Fatigue,21,1
V175,175,Bike,Good,Normal,62,4
V176,176,Bicycle,Poor,Normal,56,4
V177,177,Bicycle,Average,Overspeeding,59,3
V178,178,Truck,Poor,Overspeeding,41,5
V179,179,Car,Average,Fatigue,41,4
V180,180,Car,Poor,Overspeeding,63,1
V181,181,Bus,Poor,Fatigue,60,1
V182,182,Van,Good,Distracted,54,1
V183,183,Van,Poor,Fatigue,35,4
V184,184,Bus,Good,Drunk Driving,27,2
V185,185,Van,Average,Distracted,43,2
V186,186,Van,Poor,Distracted,35,1
V187,187,Truck,Poor,Normal,49,5
V188,188,Auto,Average,Normal,23,4
V189,189,Van,Good,Fatigue,28,1
V190,190,Van,Poor,Distracted,48,3
V191,191,Auto,Poor,Distracted,42,4
V192,192,Bike,Good,Normal,37,3
V193,193,Car,Poor,Overspeeding,28,5
V194,194,Auto,Average,Fatigue,40,1
V195,195,Bus,Average,Distracted,64,2
V196,196,Car,Good,Normal,23,2
V197,197,Van,Good,Overspeeding,35,3
V198,198,Van,Average,Normal,62,2
V199,199,Car,Poor,Overspeeding,46,4
V200,200,Car,Good,Overspeeding,23,5
V201,201,Van,Poor,Overspeeding,20,4
V202,202,Bus,Poor,Distracted,40,4
V203,203,Van,Good,Overspeeding,58,1
V204,204,Van,Poor,Fatigue,54,2
V205,205,Truck,Average,Overspeeding,53,3
V206,206,Bike,Average,Fatigue,42,1
V207,207,Truck,Poor,Normal,28,1
V208,208,Auto,Average,Distracted,21,3
V209,209,Bicycle,Average,Fatigue,23,2
V210,210,Bicycle,Poor,Overspeeding,22,5
V211,211,Truck,Average,Drunk Driving,29,5
V212,212,Car,Poor,Drunk Driving,44,1
V213,213,Bus,Poor,Distracted,41,5
V214,214,Van,Average,Drunk Driving,21,3
V215,215,Van,Average,Overspeeding,28,3
V216,216,Van,Poor,Distracted,48,3
V217,217,Truck,Average,Normal,47,3
V218,218,Bicycle,Poor,Overspeeding,57,5
V219,219,Truck,Good,Normal,47,3
V220,220,Truck,Good,Drunk Driving,19,1
V221,221,Car,Good,Distracted,39,5
V222,222,Car,Poor,Normal,42,5
V223,223,Truck,Average,Fatigue,56,3
V224,224,Car,Good,Drunk Driving,45,3
V225,225,Auto,Good,Drunk Driving,19,1
V226,226,Car,Good,Normal,62,4
V227,227,Bike,Good,Drunk Driving,44,4
V228,228,Bike,Good,Drunk Driving,52,1
V229,229,Bike,Average,Distracted,57,2
V230,230,Bicycle,Poor,Drunk Driving,56,4
V231,231,Bicycle,Good,Drunk Driving,50,5
V232,232,Bicycle,Poor,Drunk Driving,40,4
V233,233,Car,Poor,Distracted,20,2
V234,234,Car,Poor,Fatigue,43,4
V235,235,Bike,Good,Drunk Driving,26,4
V236,236,Bus,Average,Overspeeding,61,3
V237,237,Bus,Good,Normal,48,3
V238,238,Bus,Poor,Distracted,55,3
V239,239,Auto,Good,Distracted,22,1
V240,240,Van,Average,Fatigue,45,5
V241,241,Car,Average,Distracted,45,2
V242,242,Bicycle,Poor,Fatigue,27,3
V243,243,Bus,Poor,Normal,20,5
V244,244,Bike,Good,Overspeeding,40,3
V245,245,Bicycle,Good,Drunk Driving,49,1
V246,246,Van,Average,Fatigue,65,3
V247,247,Van,Poor,Fatigue,25,1
V248,248,Bike,Average,Drunk Driving,34,5
V249,249,Bike,Average,Normal,49,2
V250,250,Bicycle,Good,Drunk Driving,61,5
V251,251,Van,Good,Fatigue,45,1
V252,252,Truck,Poor,Normal,38,4
V253,253,Bus,Good,Distracted,26,2
V254,254,Car,Good,Fatigue,60,4
V255,255,Bicycle,Average,Drunk Driving,18,4
V256,256,Bicycle,Average,Fatigue,18,3
V257,257,Car,Good,Normal,25,3
V258,258,Bicycle,Good,Drunk Driving,48,1
V259,259,Bicycle,Poor,Drunk Driving,54,3
V260,260,Van,Poor,Fatigue,41,5
V261,261,Car,Average,Overspeeding,36,3
V262,262,Auto,Average,Overspeeding,58,5
V263,263,Auto,Poor,Drunk Driving,55,5
V264,264,Van,Good,Fatigue,52,3
V265,265,Bus,Poor,Drunk Driving,35,1
V266,266,Van,Good,Fatigue,23,2
V267,267,Car,Poor,Normal,48,5
V268,268,Bicycle,Average,Fatigue,54,5
V269,269,Truck,Good,Distracted,41,1
V270,270,Bus,Good,Distracted,47,3
V271,271,Van,Average,Fatigue,31,3
V272,272,Bicycle,Good,Drunk Driving,65,2
V273,273,Auto,Poor,Distracted,38,4
V274,274,Truck,Good,Normal,44,4
V275,275,Bus,Good,Fatigue,64,4
V276,276,Bus,Average,Distracted,64,5
V277,277,Van,Average,Fatigue,34,4
V278,278,Car,Average,Drunk Driving,59,4
V279,279,Bike,Average,Overspeeding,27,3
V280,280,Bicycle,Poor,Overspeeding,34,2
V281,281,Auto,Good,Distracted,35,2
V282,282,Van,Poor,Drunk Driving,27,4
V283,283,Truck,Average,Distracted,62,3
V284,284,Truck,Poor,Drunk Driving,32,3
V285,285,Bike,Good,Fatigue,59,4
V286,286,Van,Average,Distracted,31,1
V287,287,Bus,Poor,Normal,27,3
V288,288,Van,Average,Overspeeding,27,2
V289,289,Bus,Average,Drunk Driving,34,2
V290,290,Bus,Poor,Normal,62,1
V291,291,Bike,Good,Drunk Driving,63,3
V292,292,Auto,Poor,Drunk Driving,46,2
V293,293,Bus,Average,Drunk Driving,55,3
V294,294,Car,Good,Fatigue,50,1
V295,295,Truck,Average,Distracted,42,5
V296,296,Bicycle,Good,Drunk Driving,24,5
V297,297,Auto,Good,Normal,45,2
V298,298,Bus,Average,Overspeeding,20,5
V299,299,Truck,Good,Fatigue,43,5
V300,300,Van,Average,Fatigue,23,3
V301,301,Van,Poor,Overspeeding,53,3
V302,302,Van,Good,Drunk Driving,46,4
V303,303,Truck,Good,Distracted,45,3
V304,304,Bus,Poor,Overspeeding,60,3
V305,305,Van,Average,Overspeeding,37,4
V306,306,Van,Poor,Normal,24,2
V307,307,Car,Average,Overspeeding,19,1
V308,308,Bike,Average,Drunk Driving,35,2
V309,309,Van,Good,Fatigue,28,5
V310,310,Car,Average,Overspeeding,27,1
V311,311,Bicycle,Good,Drunk Driving,64,2
V312,312,Auto,Average,Overspeeding,53,1
V313,313,Bicycle,Good,Fatigue,54,3
V314,314,Bus,Poor,Overspeeding,51,5
V315,315,Truck,Good,Normal,24,5
V316,316,Bus,Average,Normal,28,2
V317,317,Bus,Good,Normal,55,2
V318,318,Bike,Average,Drunk Driving,21,3
V319,319,Bicycle,Poor,Fatigue,24,1
V320,320,Car,Poor,Normal,27,2
V321,321,Bicycle,Average,Distracted,36,4
V322,322,Auto,Average,Drunk Driving,39,2
V323,323,Auto,Good,Distracted,51,1
V324,324,Bus,Good,Overspeeding,55,2
V325,325,Bicycle,Average,Normal,21,5
V326,326,Bus,Poor,Normal,28,2
V327,327,Van,Average,Fatigue,31,5
V328,328,Van,Poor,Distracted,32,5
V329,329,Bicycle,Poor,Drunk Driving,55,5
V330,330,Van,Average,Normal,31,1
V331,331,Auto,Good,Distracted,36,4
V332,332,Bicycle,Poor,Distracted,32,2
V333,333,Truck,Poor,Fatigue,44,5
V334,334,Auto,Average,Drunk Driving,62,4
V335,335,Auto,Good,Drunk Driving,63,1
V336,336,Bicycle,Good,Overspeeding,30,5
V337,337,Van,Good,Fatigue,44,3
V338,338,Bicycle,Average,Fatigue,60,3
V339,339,Bike,Average,Fatigue,28,1
V340,340,Auto,Average,Fatigue,58,4
V341,341,Auto,Good,Overspeeding,41,2
V342,342,Truck,Poor,Drunk Driving,40,3
V343,343,Car,Good,Fatigue,48,1
V344,344,Bicycle,Average,Normal,49,3
V345,345,Bicycle,Average,Fatigue,43,5
V346,346,Truck,Good,Drunk Driving,61,1
V347,347,Bus,Good,Drunk Driving,44,4
V348,348,Bike,Poor,Fatigue,41,2
V349,349,Van,Poor,Drunk Driving,20,5
V350,350,Auto,Average,Drunk Driving,49,1
V351,351,Truck,Poor,Drunk Driving,40,1
V352,352,Bus,Poor,Overspeeding,60,5
V353,353,Auto,Average,Distracted,65,2
V354,354,Bike,Poor,Drunk Driving,57,3
V355,355,Van,Good,Drunk Driving,61,5
V356,356,Van,Good,Overspeeding,31,5
V357,357,Bus,Average,Normal,49,2
V358,358,Bicycle,Good,Distracted,40,4
V359,359,Auto,Average,Overspeeding,59,5
V360,360,Bus,Average,Normal,63,3
V361,361,Bus,Good,Overspeeding,23,2
V362,362,Bike,Poor,Drunk Driving,64,5
V363,363,Bus,Poor,Drunk Driving,25,1
V364,364,Bike,Average,Overspeeding,27,4
V365,365,Truck,Poor,Normal,36,5
V366,366,Bike,Average,Distracted,24,3
V367,367,Car,Good,Overspeeding,19,5
V368,368,Van,Poor,Normal,59,3
V369,369,Car,Average,Drunk Driving,62,2
V370,370,Bus,Average,Overspeeding,30,1
V371,371,Truck,Poor,Overspeeding,26,1
V372,372,Auto,Poor,Fatigue,19,5
V373,373,Car,Poor,Drunk Driving,46,5
V374,374,Car,Good,Normal,26,3
V375,375,Auto,Poor,Fatigue,30,2
V376,376,Bicycle,Poor,Distracted,26,1
V377,377,Bicycle,Average,Distracted,25,3
V378,378,Van,Poor,Normal,24,4
V379,379,Bicycle,Average,Distracted,43,1
V380,380,Bus,Good,Drunk Driving,46,1
V381,381,Truck,Average,Fatigue,65,2
V382,382,Truck,Poor,Drunk Driving,38,1
V383,383,Bike,Average,Distracted,21,4
V384,384,Bus,Average,Normal,58,5
V385,385,Truck,Average,Drunk Driving,41,2
V386,386,Van,Average,Fatigue,20,4
V387,387,Car,Average,Drunk Driving,65,1
V388,388,Car,Average,Distracted,32,3
V389,389,Bike,Poor,Fatigue,59,3
V390,390,Bicycle,Poor,Drunk Driving,55,1
V391,391,Truck,Good,Fatigue,18,3
V392,392,Bicycle,Average,Drunk Driving,43,4
V393,393,Van,Average,Overspeeding,65,3
V394,394,Bicycle,Poor,Normal,52,5
V395,395,Truck,Good,Fatigue,28,2
V396,396,Bus,Average,Overspeeding,57,1
V397,397,Auto,Poor,Fatigue,38,4
V398,398,Bike,Average,Distracted,34,2
V399,399,Van,Average,Overspeeding,34,2
V400,400,Truck,Average,Overspeeding,54,5
V401,401,Auto,Good,Distracted,52,4
V402,402,Truck,Poor,Drunk Driving,21,3
V403,403,Bike,Poor,Fatigue,53,3
V404,404,Car,Average,Fatigue,42,3
V405,405,Van,Good,Normal,22,4
V406,406,Auto,Good,Normal,57,2
V407,407,Bus,Poor,Fatigue,39,2
V408,408,Auto,Poor,Drunk Driving,40,5
V409,409,Car,Poor,Overspeeding,58,5
V410,410,Van,Good,Distracted,39,2
V411,411,Bus,Good,Normal,52,2
V412,412,Bus,Poor,Fatigue,37,1
V413,413,Bike,Average,Normal,41,2
V414,414,Bus,Average,Distracted,28,3
V415,415,Car,Poor,Overspeeding,47,5
V416,416,Car,Good,Normal,65,2
V417,417,Van,Good,Overspeeding,18,4
V418,418,Car,Poor,Overspeeding,18,2
V419,419,Bike,Good,Fatigue,31,2
V420,420,Truck,Poor,Overspeeding,22,5
V421,421,Car,Poor,Overspeeding,30,3
V422,422,Auto,Average,Normal,44,3
V423,423,Car,Poor,Overspeeding,22,2
V424,424,Van,Good,Overspeeding,45,2
V425,425,Truck,Average,Normal,59,2
V426,426,Bicycle,Average,Distracted,56,5
V427,427,Bicycle,Average,Fatigue,26,4
V428,428,Bike,Average,Normal,45,5
V429,429,Auto,Poor,Drunk Driving,31,3
V430,430,Bus,Poor,Fatigue,63,3
V431,431,Truck,Average,Normal,23,3
V432,432,Bike,Average,Drunk Driving,43,1
V433,433,Van,Average,Distracted,36,4
V434,434,Van,Good,Fatigue,38,1
V435,435,Bus,Good,Drunk Driving,43,2
V436,436,Auto,Average,Overspeeding,51,3
V437,437,Bicycle,Poor,Overspeeding,39,1
V438,438,Truck,Good,Overspeeding,34,1
V439,439,Bus,Poor,Overspeeding,38,2
V440,440,Car,Average,Overspeeding,22,5
V441,441,Bus,Poor,Overspeeding,23,1
V442,442,Van,Good,Drunk Driving,19,5
V443,443,Van,Poor,Fatigue,30,2
V444,444,Bike,Good,Drunk Driving,35,5
V445,445,Bike,Average,Fatigue,37,5
V446,446,Van,Average,Overspeeding,21,2
V447,447,Auto,Good,Distracted,54,5
V448,448,Van,Good,Overspeeding,26,2
V449,449,Bus,Poor,Distracted,18,4
V450,450,Bike,Good,Fatigue,58,3
V451,451,Bus,Good,Overspeeding,47,4
V452,452,Auto,Poor,Distracted,54,4
V453,453,Truck,Poor,Distracted,44,4
V454,454,Van,Good,Normal,53,3
V455,455,Van,Good,Normal,50,4
V456,456,Car,Good,Fatigue,42,4
V457,457,Auto,Good,Fatigue,49,1
V458,458,Car,Good,Distracted,50,2
V459,459,Truck,Average,Distracted,20,3
V460,460,Bus,Good,Fatigue,36,5
V461,461,Van,Good,Drunk Driving,19,5
V462,462,Car,Poor,Distracted,47,5
V463,463,Truck,Good,Normal,30,1
V464,464,Auto,Average,Fatigue,29,4
V465,465,Bike,Good,Fatigue,28,3
V466,466,Van,Average,Drunk Driving,60,2
V467,467,Car,Good,Fatigue,29,4
V468,468,Van,Good,Fatigue,29,1
V469,469,Bicycle,Poor,Fatigue,32,5
V470,470,Car,Poor,Drunk Driving,56,3
V471,471,Truck,Poor,Overspeeding,30,2
V472,472,Auto,Average,Overspeeding,55,2
V473,473,Car,Average,Normal,29,5
V474,474,Bike,Good,Fatigue,50,1
V475,475,Van,Good,Drunk Driving,63,2
V476,476,Van,Good,Distracted,24,5
V477,477,Bus,Average,Drunk Driving,65,5
V478,478,Truck,Average,Normal,39,4
V479,479,Van,Poor,Overspeeding,65,1
V480,480,Car,Good,Normal,52,4
V481,481,Bicycle,Average,Overspeeding,36,3
V482,482,Truck,Good,Distracted,59,4
V483,483,Car,Good,Overspeeding,27,2
V484,484,Auto,Good,Drunk Driving,57,3
V485,485,Bus,Average,Normal,42,1
V486,486,Bicycle,Good,Fatigue,52,3
V487,487,Car,Average,Fatigue,50,4
V488,488,Auto,Good,Drunk Driving,43,4
V489,489,Bike,Good,Drunk Driving,51,4
V490,490,Truck,Good,Overspeeding,29,2
V491,491,Van,Average,Distracted,27,3
V492,492,Truck,Average,Distracted,59,5
V493,493,Bike,Average,Drunk Driving,41,3
V494,494,Auto,Good,Normal,54,1
V495,495,Truck,Poor,Drunk Driving,56,3
V496,496,Van,Good,Overspeeding,41,1
V497,497,Truck,Poor,Overspeeding,63,1
V498,498,Bike,Good,Fatigue,38,4
V499,499,Car,Poor,Normal,52,5
V500,500,Bus,Poor,Normal,48,2
V501,501,Car,Poor,Overspeeding,22,2
V502,502,Truck,Poor,Normal,42,1
V503,503,Auto,Good,Distracted,30,3
V504,504,Auto,Average,Drunk Driving,54,3
V505,505,Bus,Average,Overspeeding,59,1
V506,506,Bus,Average,Normal,21,2
V507,507,Truck,Poor,Normal,49,2
V508,508,Van,Good,Drunk Driving,36,5
V509,509,Bike,Poor,Normal,40,2
V510,510,Truck,Average,Drunk Driving,64,5
V511,511,Car,Good,Distracted,27,2
V512,512,Bicycle,Good,Distracted,48,3
V513,513,Bus,Poor,Drunk Driving,36,4
V514,514,Bike,Average,Overspeeding,43,4
V515,515,Bike,Good,Distracted,21,2
V516,516,Bus,Average,Overspeeding,30,1
V517,517,Bicycle,Good,Normal,46,5
V518,518,Van,Poor,Drunk Driving,55,2
V519,519,Truck,Poor,Drunk Driving,30,2
V520,520,Auto,Poor,Drunk Driving,43,5
V521,521,Auto,Poor,Drunk Driving,29,4
V522,522,Car,Good,Fatigue,50,3
V523,523,Bike,Good,Drunk Driving,20,4
V524,524,Van,Good,Distracted,20,5
V525,525,Auto,Good,Drunk Driving,23,2
V526,526,Auto,Average,Fatigue,41,4
V527,527,Car,Poor,Drunk Driving,51,3
V528,528,Van,Good,Drunk Driving,42,4
V529,529,Bike,Good,Distracted,47,2
V530,530,Car,Poor,Drunk Driving,30,4
V531,531,Bus,Poor,Overspeeding,27,4
V532,532,Auto,Poor,Overspeeding,46,2
V533,533,Auto,Average,Fatigue,33,4
V534,534,Bike,Good,Fatigue,33,4
V535,535,Van,Poor,Distracted,50,3
V536,536,Van,Good,Normal,51,1
V537,537,Bike,Poor,Overspeeding,22,3
V538,538,Car,Good,Distracted,36,5
V539,539,Bus,Average,Drunk Driving,19,3
V540,540,Bike,Poor,Drunk Driving,33,2
V541,541,Auto,Poor,Normal,44,2
V542,542,Bike,Average,Drunk Driving,37,1
V543,543,Auto,Average,Distracted,36,5
V544,544,Auto,Good,Drunk Driving,51,3
V545,545,Auto,Poor,Drunk Driving,47,5
V546,546,Bus,Average,Normal,59,4
V547,547,Car,Good,Fatigue,24,1
V548,548,Bicycle,Poor,Distracted,37,4
V549,549,Bus,Poor,Drunk Driving,24,4
V550,550,Car,Average,Overspeeding,23,4
V551,551,Auto,Poor,Normal,31,5
V552,552,Bus,Good,Fatigue,34,3
V553,553,Bus,Average,Drunk Driving,48,4
V554,554,Bike,Poor,Overspeeding,49,5
V555,555,Bicycle,Good,Normal,64,5
V556,556,Car,Average,Drunk Driving,29,2
V557,557,Truck,Average,Normal,38,2
V558,558,Bus,Poor,Overspeeding,20,1
V559,559,Truck,Poor,Fatigue,45,1
V560,560,Truck,Good,Distracted,65,3
V561,561,Auto,Average,Drunk Driving,35,3
V562,562,Bus,Average,Drunk Driving,52,2
V563,563,Truck,Average,Drunk Driving,25,4
V564,564,Van,Poor,Normal,37,5
V565,565,Bike,Poor,Drunk Driving,30,1
V566,566,Auto,Poor,Fatigue,29,2
V567,567,Bike,Poor,Normal,20,5
V568,568,Car,Average,Distracted,54,4
V569,569,Auto,Average,Drunk Driving,45,2
V570,570,Bicycle,Poor,Overspeeding,57,5
V571,571,Car,Average,Overspeeding,28,4
V572,572,Bicycle,Good,Overspeeding,65,1
V573,573,Car,Poor,Normal,31,2
V574,574,Van,Poor,Overspeeding,61,4
V575,575,Auto,Average,Normal,23,1
V576,576,Van,Poor,Overspeeding,51,5
V577,577,Bicycle,Good,Fatigue,49,1
V578,578,Bike,Good,Normal,60,5
V579,579,Bicycle,Average,Distracted,47,3
V580,580,Car,Poor,Overspeeding,24,2
V581,581,Bicycle,Good,Overspeeding,45,4
V582,582,Bike,Good,Fatigue,51,5
V583,583,Bike,Good,Normal,63,4
V584,584,Bus,Average,Overspeeding,48,1
V585,585,Bicycle,Poor,Drunk Driving,61,3
V586,586,Bike,Good,Distracted,57,3
V587,587,Car,Good,Distracted,42,4
V588,588,Truck,Average,Overspeeding,41,2
V589,589,Van,Average,Distracted,33,2
V590,590,Van,Good,Drunk Driving,49,2
V591,591,Van,Good,Overspeeding,49,3
V592,592,Bicycle,Average,Overspeeding,51,4
V593,593,Car,Average,Fatigue,26,5
V594,594,Truck,Good,Overspeeding,58,3
V595,595,Van,Average,Distracted,24,3
V596,596,Truck,Poor,Fatigue,63,2
V597,597,Truck,Poor,Distracted,37,1
V598,598,Van,Average,Fatigue,19,2
V599,599,Bike,Average,Normal,28,1
V600,600,Car,Average,Distracted,42,5
V601,601,Truck,Poor,Drunk Driving,25,4
V602,602,Truck,Good,Drunk Driving,27,2
V603,603,Car,Good,Distracted,49,2
V604,604,Bus,Good,Drunk Driving,19,2
V605,605,Van,Poor,Overspeeding,20,5
V606,606,Truck,Good,Normal,53,4
V607,607,Van,Average,Normal,24,4
V608,608,Bike,Average,Distracted,27,1
V609,609,Auto,Good,Drunk Driving,45,1
V610,610,Auto,Poor,Normal,41,4
V611,611,Bus,Average,Drunk Driving,63,4
V612,612,Car,Good,Drunk Driving,22,2
V613,613,Bicycle,Average,Fatigue,43,5
V614,614,Bicycle,Good,Drunk Driving,35,1
V615,615,Auto,Good,Drunk Driving,40,1
V616,616,Bike,Average,Drunk Driving,63,2
V617,617,Truck,Poor,Distracted,52,2
V618,618,Van,Poor,Drunk Driving,37,2
V619,619,Car,Average,Distracted,56,5
V620,620,Auto,Average,Drunk Driving,22,3
